date,sst,threshold,region
2015-06-01,10.570294373268819,12.768259646226861,roi_test
2015-06-02,10.763322203672782,13.769682648358993,roi_test
2015-06-03,10.791487247785005,14.04453883813847,roi_test
2015-06-04,10.832132580518106,14.285653117242832,roi_test
2015-06-05,11.289986681923063,14.62623448569088,roi_test
2015-06-06,11.53678996829922,14.718169952417563,roi_test
2015-06-07,11.52313412491481,15.006730224531513,roi_test
2015-06-08,11.651229389806979,15.419358919047337,roi_test
2015-06-09,12.057430173885296,15.666619209293879,roi_test
2015-06-10,12.46481076450765,15.701588508938107,roi_test
2015-06-11,12.669429323529231,15.364777187947457,roi_test
2015-06-12,13.186874878855509,15.251729943163692,roi_test
2015-06-13,13.713740191205083,15.252911344125355,roi_test
2015-06-14,13.470547166626027,15.174515078188982,roi_test
2015-06-15,12.933862554944866,15.212968805687394,roi_test
2015-06-16,12.94030112609657,15.233229821237622,roi_test
2015-06-17,13.127756748138285,15.43407542533437,roi_test
2015-06-18,13.186091175679815,15.737399817423537,roi_test
2015-06-19,13.380061400711563,15.951607298056036,roi_test
2015-06-20,13.907369460961787,16.42023181582282,roi_test
2015-06-21,14.390905941863137,16.453187897432045,roi_test
2015-06-22,14.095335921917306,16.24982661489498,roi_test
2015-06-23,13.851031244333592,16.26379252562012,roi_test
2015-06-24,13.4562005339736,16.526918397078777,roi_test
2015-06-25,13.453136688488298,16.9137269669174,roi_test
2015-06-26,13.455835256013446,17.205643394421408,roi_test
2015-06-27,14.007944576791546,17.31349505730523,roi_test
2015-06-28,14.740139620966268,17.317564292547534,roi_test
2015-06-29,15.011946627650353,17.479162680622498,roi_test
2015-06-30,15.460920385411404,17.761078357812345,roi_test
2015-07-01,16.043181832392303,17.71990436620334,roi_test
2015-07-02,16.458685574584308,17.692419825802048,roi_test
2015-07-03,16.919576385111252,17.959156834424398,roi_test
2015-07-04,18.008047057205214,18.330868582468902,roi_test
2015-07-05,19.500207837031777,18.610026042155113,roi_test
2015-07-06,17.2059554313369,18.075714986900778,roi_test
2015-07-07,16.178577904497526,18.083068222318094,roi_test
2015-07-08,16.20015281399087,18.38044399842432,roi_test
2015-07-09,15.616865812559007,18.653615263891773,roi_test
2015-07-10,14.870762569325919,18.668060281492885,roi_test
2015-07-11,14.723384729855642,18.895254575353434,roi_test
2015-07-12,14.913406551493429,19.220330982348855,roi_test
2015-07-13,15.582220304752639,19.432044825020455,roi_test
2015-07-14,15.880271051002609,19.446222386874496,roi_test
2015-07-15,15.740774511826814,19.475894374519356,roi_test
2015-07-16,15.741458485740928,19.29043918390823,roi_test
2015-07-17,15.948653436126357,19.32085123145314,roi_test
2015-07-18,16.161945252074318,19.183068284844268,roi_test
2015-07-19,15.873224225144275,19.472711854339014,roi_test
2015-07-20,15.845871521199468,19.59001791375135,roi_test
2015-07-21,16.082504173622713,19.7819375300907,roi_test
2015-07-22,16.300922636353974,19.97223043399425,roi_test
2015-07-23,16.20462424890423,20.204876010579436,roi_test
2015-07-24,16.365043424433978,20.42791412654052,roi_test
2015-07-25,16.34432474848841,20.60544749989059,roi_test
2015-07-26,15.957118918547144,20.812254819205517,roi_test
2015-07-27,15.863061782121267,21.090492112322025,roi_test
2015-07-28,15.730962027849147,21.338355467602046,roi_test
2015-07-29,15.625809682804668,21.517278891785978,roi_test
2015-07-30,15.576213539419625,21.593743536355845,roi_test
2015-07-31,15.546739071986384,21.390911287851782,roi_test
2015-08-01,15.660766633527786,21.269171340498833,roi_test
2015-08-02,16.340149812734087,21.147479850937597,roi_test
2015-08-03,16.810973220035898,21.201825201803278,roi_test
2015-08-04,16.866859684993084,21.33383860741689,roi_test
2015-08-05,17.066105181544767,21.318619077988874,roi_test
2015-08-06,17.6010019195538,21.091507349952792,roi_test
2015-08-07,18.14729024028811,20.894845028855826,roi_test
2015-08-08,18.35678953061593,20.8838912231997,roi_test
2015-08-09,18.1029743705176,20.829858659563666,roi_test
2015-08-10,18.445260327762256,20.796728786429288,roi_test
2015-08-11,18.88251755422583,20.69190886183589,roi_test
2015-08-12,18.87867119356229,20.480132086561216,roi_test
2015-08-13,18.63485653367346,20.41376964103716,roi_test
2015-08-14,18.277497764688952,20.228511908111546,roi_test
2015-08-15,18.13556351722281,19.874458054310224,roi_test
2015-08-16,17.983225413141728,20.05446536987365,roi_test
2015-08-17,17.754019683242362,20.274810076719586,roi_test
2015-08-18,17.57071492437458,20.390979441391057,roi_test
2015-08-19,17.462312843503234,20.483688700893502,roi_test
2015-08-20,17.520052959676864,20.42824704720099,roi_test
2015-08-21,17.680456628713298,20.307607842033857,roi_test
2015-08-22,17.930494894737187,20.323584344694364,roi_test
2015-08-23,17.98655386943282,20.370510588809044,roi_test
2015-08-24,18.135584150863185,20.181858684574166,roi_test
2015-08-25,18.17791018739096,20.00605544196633,roi_test
2015-08-26,17.95886671293602,19.861725785172553,roi_test
2015-08-27,17.82773780270488,19.76511604859532,roi_test
2015-08-28,17.75984355949053,19.649555470103103,roi_test
2015-08-29,17.84523362908219,19.65449066171459,roi_test
2015-08-30,17.871889978928706,19.627313718869786,roi_test
2015-08-31,18.046629463587855,19.6289957982405,roi_test
2016-06-01,14.237918941056563,13.769682648358993,roi_test
2016-06-02,14.519504855158088,14.04453883813847,roi_test
2016-06-03,15.145646927150771,14.285653117242832,roi_test
2016-06-04,15.673096734257461,14.62623448569088,roi_test
2016-06-05,15.067126234110566,14.718169952417563,roi_test
2016-06-06,14.642284519142382,15.006730224531513,roi_test
2016-06-07,14.712864074331117,15.419358919047337,roi_test
2016-06-08,14.725420457316485,15.666619209293879,roi_test
2016-06-09,14.177932384185862,15.701588508938107,roi_test
2016-06-10,13.780583932021555,15.364777187947457,roi_test
2016-06-11,13.724574227957945,15.251729943163692,roi_test
2016-06-12,14.024169433450256,15.252911344125355,roi_test
2016-06-13,14.31858103080668,15.174515078188982,roi_test
2016-06-14,14.079039597831597,15.212968805687394,roi_test
2016-06-15,14.187338135344165,15.233229821237622,roi_test
2016-06-16,14.606396178399702,15.43407542533437,roi_test
2016-06-17,14.960120112797235,15.737399817423537,roi_test
2016-06-18,14.086547616814533,15.951607298056036,roi_test
2016-06-19,14.068061250648729,16.42023181582282,roi_test
2016-06-20,14.274330625949617,16.453187897432045,roi_test
2016-06-21,15.132744399217156,16.24982661489498,roi_test
2016-06-22,15.500921635935068,16.26379252562012,roi_test
2016-06-23,16.696337466314024,16.526918397078777,roi_test
2016-06-24,17.226843428185568,16.9137269669174,roi_test
2016-06-25,18.200849543246235,17.205643394421408,roi_test
2016-06-26,17.69905085254452,17.31349505730523,roi_test
2016-06-27,17.06383466826735,17.317564292547534,roi_test
2016-06-28,17.532409383929497,17.479162680622498,roi_test
2016-06-29,17.791535267893423,17.761078357812345,roi_test
2016-06-30,17.94699105250326,17.71990436620334,roi_test
2016-07-01,18.032974307991488,17.692419825802048,roi_test
2016-07-02,18.09559734388774,17.959156834424398,roi_test
2016-07-03,17.993325329981932,18.330868582468902,roi_test
2016-07-04,17.770619071736284,18.610026042155113,roi_test
2016-07-05,17.589200415173835,18.075714986900778,roi_test
2016-07-06,16.902574015368938,18.083068222318094,roi_test
2016-07-07,16.770582681497846,18.38044399842432,roi_test
2016-07-08,16.855735714330404,18.653615263891773,roi_test
2016-07-09,17.011401149231233,18.668060281492885,roi_test
2016-07-10,17.21617958770234,18.895254575353434,roi_test
2016-07-11,17.276317270356934,19.220330982348855,roi_test
2016-07-12,17.2528903353279,19.432044825020455,roi_test
2016-07-13,17.466377483071046,19.446222386874496,roi_test
2016-07-14,17.292668867588315,19.475894374519356,roi_test
2016-07-15,16.87467189385555,19.29043918390823,roi_test
2016-07-16,16.751746731443806,19.32085123145314,roi_test
2016-07-17,16.78258251892982,19.183068284844268,roi_test
2016-07-18,17.09450082221931,19.472711854339014,roi_test
2016-07-19,17.63504673832166,19.59001791375135,roi_test
2016-07-20,18.1601079201916,19.7819375300907,roi_test
2016-07-21,18.34993628581967,19.97223043399425,roi_test
2016-07-22,18.641496376607705,20.204876010579436,roi_test
2016-07-23,18.97721364571416,20.42791412654052,roi_test
2016-07-24,19.79487710478761,20.60544749989059,roi_test
2016-07-25,20.23350202897467,20.812254819205517,roi_test
2016-07-26,20.45519242432767,21.090492112322025,roi_test
2016-07-27,20.23719826427316,21.338355467602046,roi_test
2016-07-28,20.15889159835678,21.517278891785978,roi_test
2016-07-29,20.11665178543516,21.593743536355845,roi_test
2016-07-30,20.09102661739604,21.390911287851782,roi_test
2016-07-31,19.919284137732678,21.269171340498833,roi_test
2016-08-01,19.7104276790906,21.147479850937597,roi_test
2016-08-02,19.419101936435837,21.201825201803278,roi_test
2016-08-03,19.32313506280755,21.33383860741689,roi_test
2016-08-04,19.083704801385547,21.318619077988874,roi_test
2016-08-05,19.064592423077134,21.091507349952792,roi_test
2016-08-06,18.89646064289422,20.894845028855826,roi_test
2016-08-07,18.792386311768066,20.8838912231997,roi_test
2016-08-08,18.66466238987579,20.829858659563666,roi_test
2016-08-09,18.175735089068557,20.796728786429288,roi_test
2016-08-10,17.800554732294184,20.69190886183589,roi_test
2016-08-11,17.61441678702958,20.480132086561216,roi_test
2016-08-12,17.587880862611186,20.41376964103716,roi_test
2016-08-13,17.567289052290636,20.228511908111546,roi_test
2016-08-14,17.516223543608874,19.874458054310224,roi_test
2016-08-15,17.6044863161449,20.05446536987365,roi_test
2016-08-16,17.449872133956084,20.274810076719586,roi_test
2016-08-17,17.343577748182067,20.390979441391057,roi_test
2016-08-18,17.434246653286035,20.483688700893502,roi_test
2016-08-19,17.567264792131688,20.42824704720099,roi_test
2016-08-20,17.62861542020718,20.307607842033857,roi_test
2016-08-21,17.918950185390155,20.323584344694364,roi_test
2016-08-22,17.9389705689258,20.370510588809044,roi_test
2016-08-23,18.178228945871087,20.181858684574166,roi_test
2016-08-24,18.534507137363782,20.00605544196633,roi_test
2016-08-25,18.629186846992177,19.861725785172553,roi_test
2016-08-26,18.643061782121265,19.76511604859532,roi_test
2016-08-27,18.649761087455367,19.649555470103103,roi_test
2016-08-28,18.615174729417948,19.65449066171459,roi_test
2016-08-29,18.032132768096623,19.627313718869786,roi_test
2016-08-30,17.917426359788163,19.6289957982405,roi_test
2016-08-31,18.00462962615595,18.52194375144592,roi_test
2017-06-01,11.44525738903165,12.768259646226861,roi_test
2017-06-02,11.559233741629328,13.769682648358993,roi_test
2017-06-03,11.636957788573982,14.04453883813847,roi_test
2017-06-04,11.827994910368712,14.285653117242832,roi_test
2017-06-05,11.903233854176417,14.62623448569088,roi_test
2017-06-06,12.06087911813071,14.718169952417563,roi_test
2017-06-07,11.987573171265463,15.006730224531513,roi_test
2017-06-08,11.995387255913412,15.419358919047337,roi_test
2017-06-09,12.537656581193362,15.666619209293879,roi_test
2017-06-10,12.846834361889037,15.701588508938107,roi_test
2017-06-11,12.841491812196347,15.364777187947457,roi_test
2017-06-12,12.754274477437423,15.251729943163692,roi_test
2017-06-13,12.532858509500844,15.252911344125355,roi_test
2017-06-14,12.704705845572825,15.174515078188982,roi_test
2017-06-15,13.127544284168998,15.212968805687394,roi_test
2017-06-16,13.397341199127139,15.233229821237622,roi_test
2017-06-17,13.953498902665475,15.43407542533437,roi_test
2017-06-18,14.19946971544335,15.737399817423537,roi_test
2017-06-19,14.323971850712478,15.951607298056036,roi_test
2017-06-20,14.468266211476065,16.42023181582282,roi_test
2017-06-21,14.251970012442712,16.453187897432045,roi_test
2017-06-22,14.209362295461233,16.24982661489498,roi_test
2017-06-23,14.518121650941335,16.26379252562012,roi_test
2017-06-24,14.578492243626995,16.526918397078777,roi_test
2017-06-25,14.433506968543062,16.9137269669174,roi_test
2017-06-26,14.324386461830883,17.205643394421408,roi_test
2017-06-27,14.361638060938013,17.31349505730523,roi_test
2017-06-28,14.714118287032685,17.317564292547534,roi_test
2017-06-29,14.783256426128451,17.479162680622498,roi_test
2017-06-30,14.588302976871562,17.761078357812345,roi_test
2017-07-01,14.603805280961407,17.71990436620334,roi_test
2017-07-02,14.57627906685923,17.692419825802048,roi_test
2017-07-03,14.505851262716249,17.959156834424398,roi_test
2017-07-04,14.520790643582002,18.330868582468902,roi_test
2017-07-05,14.924113159885692,18.610026042155113,roi_test
2017-07-06,15.299572320909386,18.075714986900778,roi_test
2017-07-07,15.499658106832236,18.083068222318094,roi_test
2017-07-08,15.747385342612215,18.38044399842432,roi_test
2017-07-09,15.796078232760008,18.653615263891773,roi_test
2017-07-10,15.851207443116808,18.668060281492885,roi_test
2017-07-11,15.994366203347655,18.895254575353434,roi_test
2017-07-12,16.00092244877543,19.220330982348855,roi_test
2017-07-13,15.970973595192975,19.432044825020455,roi_test
2017-07-14,16.203875122707643,19.446222386874496,roi_test
2017-07-15,16.69840401918305,19.475894374519356,roi_test
2017-07-16,16.734551843584505,19.29043918390823,roi_test
2017-07-17,16.33657625380627,19.32085123145314,roi_test
2017-07-18,16.380914195319285,19.183068284844268,roi_test
2017-07-19,16.869901021052538,19.472711854339014,roi_test
2017-07-20,16.946297699661717,19.59001791375135,roi_test
2017-07-21,16.85884339066981,19.7819375300907,roi_test
2017-07-22,16.90261259402376,19.97223043399425,roi_test
2017-07-23,16.94766552243751,20.204876010579436,roi_test
2017-07-24,16.97540563861115,20.42791412654052,roi_test
2017-07-25,16.91763194587731,20.60544749989059,roi_test
2017-07-26,16.919577510582574,20.812254819205517,roi_test
2017-07-27,17.202182288833438,21.090492112322025,roi_test
2017-07-28,17.18531741416716,21.338355467602046,roi_test
2017-07-29,17.281851587852387,21.517278891785978,roi_test
2017-07-30,17.57487516647595,21.593743536355845,roi_test
2017-07-31,17.819113441253528,21.390911287851782,roi_test
